Pavarde             Vardas              Galutinis
---------------------------------------------------------------------------
Pavarde3            Vardas3             2.76
Pavarde5            Vardas5             2.56
Pavarde6            Vardas6             2.08
Pavarde11           Vardas11            1.80
Pavarde13           Vardas13            3.00
Pavarde14           Vardas14            3.64
Pavarde16           Vardas16            3.60
Pavarde17           Vardas17            3.12
Pavarde18           Vardas18            4.36
Pavarde19           Vardas19            2.64
Pavarde23           Vardas23            2.60
Pavarde24           Vardas24            4.40
Pavarde28           Vardas28            3.72
Pavarde29           Vardas29            3.00
Pavarde31           Vardas31            4.60
Pavarde32           Vardas32            1.80
Pavarde33           Vardas33            2.32
Pavarde34           Vardas34            4.24
Pavarde35           Vardas35            3.28
Pavarde40           Vardas40            1.36
Pavarde42           Vardas42            3.84
Pavarde44           Vardas44            4.04
Pavarde46           Vardas46            3.08
Pavarde53           Vardas53            4.40
Pavarde55           Vardas55            3.44
Pavarde57           Vardas57            3.12
Pavarde58           Vardas58            3.00
Pavarde59           Vardas59            3.56
Pavarde61           Vardas61            4.52
Pavarde62           Vardas62            3.56
Pavarde64           Vardas64            4.32
Pavarde65           Vardas65            2.28
Pavarde68           Vardas68            3.96
Pavarde69           Vardas69            2.80
Pavarde70           Vardas70            1.52
Pavarde76           Vardas76            2.68
Pavarde77           Vardas77            3.68
Pavarde80           Vardas80            4.12
Pavarde82           Vardas82            4.32
Pavarde86           Vardas86            4.12
Pavarde87           Vardas87            2.16
Pavarde88           Vardas88            2.72
Pavarde89           Vardas89            1.76
Pavarde90           Vardas90            1.04
Pavarde92           Vardas92            2.00
Pavarde93           Vardas93            4.44
Pavarde94           Vardas94            3.40
Pavarde96           Vardas96            4.84
Pavarde98           Vardas98            1.84
Pavarde99           Vardas99            3.32
Pavarde100          Vardas100           1.92
Pavarde101          Vardas101           4.32
Pavarde102          Vardas102           3.36
Pavarde103          Vardas103           2.64
Pavarde106          Vardas106           2.32
Pavarde107          Vardas107           1.20
Pavarde109          Vardas109           4.24
Pavarde110          Vardas110           4.80
Pavarde111          Vardas111           4.00
Pavarde112          Vardas112           4.44
Pavarde113          Vardas113           3.92
Pavarde116          Vardas116           4.88
Pavarde117          Vardas117           3.20
Pavarde120          Vardas120           3.72
Pavarde121          Vardas121           2.80
Pavarde122          Vardas122           3.12
Pavarde123          Vardas123           4.08
Pavarde124          Vardas124           3.76
Pavarde127          Vardas127           3.12
Pavarde128          Vardas128           3.52
Pavarde130          Vardas130           1.04
Pavarde132          Vardas132           4.92
Pavarde139          Vardas139           1.28
Pavarde140          Vardas140           1.28
Pavarde141          Vardas141           4.96
Pavarde145          Vardas145           3.76
Pavarde146          Vardas146           4.32
Pavarde147          Vardas147           2.80
