Pavarde             Vardas              Galutinis
---------------------------------------------------------------------------
Pavarde1            Vardas1             6.44
Pavarde2            Vardas2             8.48
Pavarde4            Vardas4             5.24
Pavarde7            Vardas7             6.08
Pavarde8            Vardas8             8.52
Pavarde9            Vardas9             7.16
Pavarde10           Vardas10            7.88
Pavarde12           Vardas12            6.84
Pavarde15           Vardas15            6.36
Pavarde20           Vardas20            8.12
Pavarde21           Vardas21            7.48
Pavarde22           Vardas22            6.72
Pavarde25           Vardas25            8.00
Pavarde26           Vardas26            7.64
Pavarde27           Vardas27            7.04
Pavarde30           Vardas30            6.56
Pavarde36           Vardas36            5.08
Pavarde37           Vardas37            7.48
Pavarde38           Vardas38            7.32
Pavarde39           Vardas39            5.08
Pavarde41           Vardas41            5.68
Pavarde43           Vardas43            5.28
Pavarde45           Vardas45            8.28
Pavarde47           Vardas47            7.92
Pavarde48           Vardas48            5.60
Pavarde49           Vardas49            6.72
Pavarde50           Vardas50            5.60
Pavarde51           Vardas51            7.28
Pavarde52           Vardas52            5.72
Pavarde54           Vardas54            5.40
Pavarde56           Vardas56            5.60
Pavarde60           Vardas60            6.60
Pavarde63           Vardas63            6.48
Pavarde66           Vardas66            5.72
Pavarde67           Vardas67            5.20
Pavarde71           Vardas71            7.56
Pavarde72           Vardas72            6.96
Pavarde73           Vardas73            7.04
Pavarde74           Vardas74            6.12
Pavarde75           Vardas75            6.56
Pavarde78           Vardas78            5.40
Pavarde79           Vardas79            7.72
Pavarde81           Vardas81            5.72
Pavarde83           Vardas83            6.56
Pavarde84           Vardas84            7.64
Pavarde85           Vardas85            6.52
Pavarde91           Vardas91            5.52
Pavarde95           Vardas95            5.60
Pavarde97           Vardas97            8.32
Pavarde104          Vardas104           8.88
Pavarde105          Vardas105           6.28
Pavarde108          Vardas108           6.64
Pavarde114          Vardas114           6.80
Pavarde115          Vardas115           7.20
Pavarde118          Vardas118           8.72
Pavarde119          Vardas119           6.24
Pavarde125          Vardas125           7.44
Pavarde126          Vardas126           6.84
Pavarde129          Vardas129           6.48
Pavarde131          Vardas131           6.24
Pavarde133          Vardas133           5.80
Pavarde134          Vardas134           5.92
Pavarde135          Vardas135           7.24
Pavarde136          Vardas136           7.16
Pavarde137          Vardas137           6.32
Pavarde138          Vardas138           7.04
Pavarde142          Vardas142           6.52
Pavarde143          Vardas143           5.52
Pavarde144          Vardas144           7.40
Pavarde148          Vardas148           5.08
Pavarde152          Vardas152           5.60
Pavarde154          Vardas154           7.00
Pavarde155          Vardas155           5.08
Pavarde158          Vardas158           5.40
Pavarde161          Vardas161           5.44
Pavarde162          Vardas162           5.96
Pavarde163          Vardas163           6.44
Pavarde164          Vardas164           8.56
Pavarde166          Vardas166           8.96
Pavarde167          Vardas167           6.88
Pavarde171          Vardas171           7.64
Pavarde174          Vardas174           6.28
Pavarde175          Vardas175           7.16
Pavarde177          Vardas177           5.28
Pavarde178          Vardas178           7.24
Pavarde180          Vardas180           7.44
Pavarde183          Vardas183           5.60
Pavarde189          Vardas189           6.84
Pavarde191          Vardas191           8.32
Pavarde193          Vardas193           5.24
Pavarde195          Vardas195           7.20
Pavarde196          Vardas196           7.40
Pavarde199          Vardas199           7.20
Pavarde200          Vardas200           5.44
Pavarde201          Vardas201           5.76
Pavarde202          Vardas202           5.28
Pavarde203          Vardas203           8.08
Pavarde204          Vardas204           7.76
Pavarde205          Vardas205           7.44
Pavarde209          Vardas209           6.08
Pavarde210          Vardas210           5.40
Pavarde211          Vardas211           5.96
Pavarde212          Vardas212           5.48
Pavarde213          Vardas213           8.96
Pavarde214          Vardas214           7.52
Pavarde215          Vardas215           5.92
Pavarde216          Vardas216           5.56
Pavarde217          Vardas217           6.36
Pavarde218          Vardas218           6.80
Pavarde219          Vardas219           5.76
Pavarde220          Vardas220           7.84
Pavarde221          Vardas221           6.64
Pavarde225          Vardas225           6.48
Pavarde227          Vardas227           5.52
Pavarde228          Vardas228           8.40
Pavarde229          Vardas229           5.64
Pavarde230          Vardas230           6.24
Pavarde231          Vardas231           8.00
Pavarde235          Vardas235           5.16
Pavarde236          Vardas236           6.92
Pavarde237          Vardas237           8.64
Pavarde238          Vardas238           6.56
Pavarde239          Vardas239           5.96
Pavarde240          Vardas240           7.04
Pavarde241          Vardas241           6.76
Pavarde242          Vardas242           8.16
Pavarde243          Vardas243           8.40
Pavarde244          Vardas244           7.28
Pavarde247          Vardas247           8.64
Pavarde255          Vardas255           6.92
Pavarde258          Vardas258           6.88
Pavarde261          Vardas261           6.28
Pavarde266          Vardas266           6.80
Pavarde271          Vardas271           7.16
Pavarde272          Vardas272           7.20
Pavarde273          Vardas273           6.48
Pavarde280          Vardas280           5.96
Pavarde282          Vardas282           7.28
Pavarde286          Vardas286           5.16
Pavarde288          Vardas288           7.64
Pavarde291          Vardas291           5.36
Pavarde293          Vardas293           5.72
Pavarde295          Vardas295           7.40
Pavarde296          Vardas296           7.88
Pavarde299          Vardas299           5.04
Pavarde302          Vardas302           5.60
Pavarde304          Vardas304           6.60
Pavarde306          Vardas306           5.52
Pavarde308          Vardas308           6.68
Pavarde311          Vardas311           7.88
Pavarde314          Vardas314           7.44
Pavarde320          Vardas320           5.04
Pavarde321          Vardas321           5.64
Pavarde326          Vardas326           7.60
Pavarde328          Vardas328           7.04
Pavarde330          Vardas330           8.64
Pavarde333          Vardas333           5.40
Pavarde335          Vardas335           5.16
Pavarde336          Vardas336           6.20
Pavarde338          Vardas338           7.76
Pavarde339          Vardas339           5.64
Pavarde340          Vardas340           5.60
Pavarde344          Vardas344           5.80
Pavarde347          Vardas347           7.28
Pavarde349          Vardas349           7.32
Pavarde351          Vardas351           6.08
Pavarde352          Vardas352           6.84
Pavarde360          Vardas360           6.72
Pavarde361          Vardas361           6.60
Pavarde362          Vardas362           6.68
Pavarde368          Vardas368           6.44
Pavarde371          Vardas371           6.96
Pavarde373          Vardas373           5.52
Pavarde374          Vardas374           6.60
Pavarde377          Vardas377           6.16
Pavarde380          Vardas380           6.36
Pavarde381          Vardas381           7.40
Pavarde383          Vardas383           9.12
Pavarde384          Vardas384           6.92
Pavarde385          Vardas385           8.88
Pavarde388          Vardas388           9.12
Pavarde389          Vardas389           5.28
Pavarde393          Vardas393           6.12
Pavarde395          Vardas395           6.48
Pavarde396          Vardas396           7.36
Pavarde397          Vardas397           6.40
Pavarde399          Vardas399           7.96
Pavarde400          Vardas400           6.56
Pavarde404          Vardas404           5.96
Pavarde405          Vardas405           6.24
Pavarde406          Vardas406           5.84
Pavarde408          Vardas408           6.16
Pavarde410          Vardas410           7.80
Pavarde411          Vardas411           5.76
Pavarde412          Vardas412           5.64
Pavarde415          Vardas415           5.52
Pavarde419          Vardas419           6.32
Pavarde424          Vardas424           7.28
Pavarde427          Vardas427           7.20
Pavarde431          Vardas431           5.84
Pavarde432          Vardas432           7.88
Pavarde434          Vardas434           7.72
Pavarde435          Vardas435           6.12
Pavarde436          Vardas436           6.28
Pavarde443          Vardas443           7.92
Pavarde444          Vardas444           6.40
Pavarde449          Vardas449           7.08
Pavarde451          Vardas451           8.24
Pavarde452          Vardas452           5.04
Pavarde459          Vardas459           7.44
Pavarde460          Vardas460           5.12
Pavarde462          Vardas462           6.32
Pavarde464          Vardas464           6.88
Pavarde465          Vardas465           7.52
Pavarde467          Vardas467           5.80
Pavarde469          Vardas469           8.36
Pavarde473          Vardas473           7.88
Pavarde474          Vardas474           6.24
Pavarde479          Vardas479           6.16
Pavarde480          Vardas480           7.16
Pavarde482          Vardas482           7.20
Pavarde484          Vardas484           8.08
Pavarde486          Vardas486           5.40
Pavarde487          Vardas487           6.48
Pavarde491          Vardas491           6.84
Pavarde493          Vardas493           8.08
Pavarde494          Vardas494           6.32
Pavarde495          Vardas495           7.40
Pavarde496          Vardas496           6.80
Pavarde501          Vardas501           6.80
Pavarde502          Vardas502           5.56
Pavarde504          Vardas504           6.16
Pavarde505          Vardas505           7.32
Pavarde506          Vardas506           5.24
Pavarde511          Vardas511           7.04
Pavarde514          Vardas514           5.04
Pavarde515          Vardas515           7.44
Pavarde516          Vardas516           7.84
Pavarde517          Vardas517           6.96
Pavarde518          Vardas518           5.16
Pavarde519          Vardas519           5.60
Pavarde521          Vardas521           5.20
Pavarde523          Vardas523           5.72
Pavarde525          Vardas525           6.80
Pavarde526          Vardas526           5.12
Pavarde528          Vardas528           5.20
Pavarde529          Vardas529           6.48
Pavarde530          Vardas530           6.04
Pavarde532          Vardas532           5.44
Pavarde534          Vardas534           7.92
Pavarde535          Vardas535           6.28
Pavarde539          Vardas539           5.12
Pavarde541          Vardas541           7.16
Pavarde542          Vardas542           6.92
Pavarde543          Vardas543           5.72
Pavarde547          Vardas547           6.52
Pavarde548          Vardas548           8.48
Pavarde549          Vardas549           7.80
Pavarde552          Vardas552           7.24
Pavarde558          Vardas558           7.04
Pavarde559          Vardas559           7.08
Pavarde561          Vardas561           5.20
Pavarde564          Vardas564           7.44
Pavarde567          Vardas567           7.08
Pavarde568          Vardas568           6.76
Pavarde569          Vardas569           7.24
Pavarde571          Vardas571           5.44
Pavarde572          Vardas572           5.12
Pavarde573          Vardas573           6.48
Pavarde576          Vardas576           7.24
