Vardas              Pavarde             ND1 ND2 ND3 ND4 ND5 Egz.
Vardas1             Pavarde1            7 7 2 8 4 7
Vardas2             Pavarde2            9 9 9 4 0 10
Vardas3             Pavarde3            5 10 4 3 5 1
Vardas4             Pavarde4            2 4 3 1 3 7
Vardas5             Pavarde5            3 1 8 2 3 2
Vardas6             Pavarde6            0 6 4 7 9 0
Vardas7             Pavarde7            6 8 9 8 0 6
Vardas8             Pavarde8            9 5 10 5 10 9
Vardas9             Pavarde9            8 5 6 9 9 7
Vardas10            Pavarde10           5 7 6 5 8 9
Vardas11            Pavarde11           10 0 0 1 4 1
Vardas12            Pavarde12           5 1 4 5 3 9
Vardas13            Pavarde13           6 8 1 9 6 1
Vardas14            Pavarde14           4 3 1 7 8 3
Vardas15            Pavarde15           1 8 4 4 10 7
Vardas16            Pavarde16           9 0 6 5 10 2
Vardas17            Pavarde17           2 9 6 1 6 2
Vardas18            Pavarde18           0 1 5 3 8 5
Vardas19            Pavarde19           9 9 1 5 9 0
Vardas20            Pavarde20           3 10 3 10 8 9
Vardas21            Pavarde21           8 0 5 4 9 9
Vardas22            Pavarde22           4 3 5 10 2 8
Vardas23            Pavarde23           6 8 10 1 0 1
Vardas24            Pavarde24           10 0 7 2 6 4
Vardas25            Pavarde25           6 6 2 1 10 10
Vardas26            Pavarde26           9 7 8 4 0 9
Vardas27            Pavarde27           5 2 1 4 1 10
Vardas28            Pavarde28           3 4 2 0 0 5
Vardas29            Pavarde29           3 9 9 1 8 1
Vardas30            Pavarde30           2 7 2 4 7 8
Vardas31            Pavarde31           0 5 10 0 5 5
Vardas32            Pavarde32           5 0 10 0 0 1
Vardas33            Pavarde33           6 9 6 6 2 0
Vardas34            Pavarde34           8 4 1 10 0 4
Vardas35            Pavarde35           9 2 7 5 3 2
Vardas36            Pavarde36           10 1 6 8 1 5
Vardas37            Pavarde37           3 4 2 10 7 9
Vardas38            Pavarde38           4 8 1 3 8 9
Vardas39            Pavarde39           4 0 2 0 5 7
Vardas40            Pavarde40           2 2 9 0 4 0
Vardas41            Pavarde41           2 5 5 7 7 6
Vardas42            Pavarde42           9 2 10 8 4 2
Vardas43            Pavarde43           2 5 7 2 5 6
Vardas44            Pavarde44           9 1 8 7 3 3
Vardas45            Pavarde45           10 6 7 10 3 9
Vardas46            Pavarde46           8 6 10 6 1 1
Vardas47            Pavarde47           1 3 0 10 10 10
Vardas48            Pavarde48           0 4 7 6 8 6
Vardas49            Pavarde49           8 3 1 8 4 8
Vardas50            Pavarde50           2 4 5 6 8 6
Vardas51            Pavarde51           6 2 5 8 10 8
Vardas52            Pavarde52           6 1 4 2 6 7
Vardas53            Pavarde53           4 6 6 0 9 4
Vardas54            Pavarde54           3 10 3 8 6 5
Vardas55            Pavarde55           9 8 10 0 1 2
Vardas56            Pavarde56           8 7 0 2 8 6
Vardas57            Pavarde57           2 9 7 2 4 2
Vardas58            Pavarde58           1 2 3 5 4 3
Vardas59            Pavarde59           1 8 6 4 3 3
Vardas60            Pavarde60           5 3 10 6 6 7
Vardas61            Pavarde61           6 0 2 8 3 5
Vardas62            Pavarde62           0 6 3 6 7 3
Vardas63            Pavarde63           0 0 10 3 8 8
Vardas64            Pavarde64           0 10 9 5 0 4
Vardas65            Pavarde65           5 5 3 8 0 1
Vardas66            Pavarde66           10 9 0 7 8 5
Vardas67            Pavarde67           1 1 0 9 9 6
Vardas68            Pavarde68           10 8 2 0 7 3
Vardas69            Pavarde69           4 0 7 2 7 2
Vardas70            Pavarde70           5 0 3 4 7 0
Vardas71            Pavarde71           7 6 2 8 4 9
Vardas72            Pavarde72           10 4 5 1 7 8
Vardas73            Pavarde73           0 9 8 5 6 8
Vardas74            Pavarde74           0 6 8 8 2 7
Vardas75            Pavarde75           8 4 4 1 5 8
Vardas76            Pavarde76           2 4 1 2 2 3
Vardas77            Pavarde77           0 3 4 4 5 4
Vardas78            Pavarde78           10 1 6 4 9 5
Vardas79            Pavarde79           5 7 7 1 9 9
Vardas80            Pavarde80           9 3 2 0 0 5
Vardas81            Pavarde81           6 4 2 7 0 7
Vardas82            Pavarde82           1 4 2 2 0 6
Vardas83            Pavarde83           8 10 1 2 1 8
Vardas84            Pavarde84           7 1 7 4 9 9
Vardas85            Pavarde85           9 1 10 9 0 7
Vardas86            Pavarde86           2 5 1 2 4 5
Vardas87            Pavarde87           8 7 0 9 3 0
Vardas88            Pavarde88           0 3 2 10 4 2
Vardas89            Pavarde89           0 10 1 3 8 0
Vardas90            Pavarde90           2 2 0 8 1 0
Vardas91            Pavarde91           7 2 4 10 1 6
Vardas92            Pavarde92           8 3 6 5 3 0
Vardas93            Pavarde93           8 8 1 1 0 5
Vardas94            Pavarde94           6 9 10 1 9 1
Vardas95            Pavarde95           7 5 10 9 9 4
Vardas96            Pavarde96           8 5 10 8 7 3
Vardas97            Pavarde97           2 3 6 8 10 10
Vardas98            Pavarde98           6 1 9 0 7 0
Vardas99            Pavarde99           7 4 2 4 2 3
Vardas100           Pavarde100          3 4 2 0 0 2
Vardas101           Pavarde101          7 3 4 2 8 4
Vardas102           Pavarde102          3 6 8 5 5 2
Vardas103           Pavarde103          9 3 5 9 7 0
Vardas104           Pavarde104          9 10 4 6 7 10
Vardas105           Pavarde105          3 7 10 0 6 7
Vardas106           Pavarde106          9 9 5 2 4 0
Vardas107           Pavarde107          0 1 2 8 4 0
Vardas108           Pavarde108          0 2 10 7 4 8
Vardas109           Pavarde109          6 8 10 5 9 2
Vardas110           Pavarde110          0 3 3 8 1 6
Vardas111           Pavarde111          10 7 2 1 0 4
Vardas112           Pavarde112          0 2 5 9 2 5
Vardas113           Pavarde113          3 4 3 8 1 4
Vardas114           Pavarde114          1 5 0 2 2 10
Vardas115           Pavarde115          7 10 0 3 10 8
Vardas116           Pavarde116          5 0 0 7 4 6
Vardas117           Pavarde117          8 2 5 3 7 2
Vardas118           Pavarde118          9 6 2 7 10 10
Vardas119           Pavarde119          8 3 9 7 6 6
Vardas120           Pavarde120          3 7 3 10 1 3
Vardas121           Pavarde121          6 7 1 2 4 2
Vardas122           Pavarde122          4 7 10 0 3 2
Vardas123           Pavarde123          2 8 6 1 4 4
Vardas124           Pavarde124          1 8 6 2 0 4
Vardas125           Pavarde125          4 9 5 0 0 10
Vardas126           Pavarde126          1 2 5 10 0 9
Vardas127           Pavarde127          5 9 7 10 8 0
Vardas128           Pavarde128          0 10 7 6 6 2
Vardas129           Pavarde129          4 7 2 1 7 8
Vardas130           Pavarde130          3 1 7 0 2 0
Vardas131           Pavarde131          3 1 2 8 4 8
Vardas132           Pavarde132          5 3 7 3 6 5
Vardas133           Pavarde133          4 1 7 3 5 7
Vardas134           Pavarde134          6 2 9 6 6 6
Vardas135           Pavarde135          6 9 7 9 7 7
Vardas136           Pavarde136          8 3 9 2 0 9
Vardas137           Pavarde137          2 0 1 9 7 8
Vardas138           Pavarde138          9 5 2 9 3 8
Vardas139           Pavarde139          2 5 4 0 5 0
Vardas140           Pavarde140          3 0 3 0 10 0
Vardas141           Pavarde141          10 2 2 8 10 4
Vardas142           Pavarde142          0 3 2 7 2 9
Vardas143           Pavarde143          2 8 7 2 5 6
Vardas144           Pavarde144          0 3 2 10 10 9
Vardas145           Pavarde145          10 3 8 10 1 2
Vardas146           Pavarde146          8 5 3 5 3 4
Vardas147           Pavarde147          0 9 0 9 2 2
Vardas148           Pavarde148          4 2 6 9 5 5
Vardas149           Pavarde149          4 8 4 10 0 2
Vardas150           Pavarde150          3 0 0 7 1 5
Vardas151           Pavarde151          10 8 1 6 8 3
Vardas152           Pavarde152          0 8 0 8 9 6
Vardas153           Pavarde153          5 7 0 8 9 1
Vardas154           Pavarde154          8 5 0 2 5 9
Vardas155           Pavarde155          10 5 4 6 1 5
Vardas156           Pavarde156          7 0 2 7 6 2
Vardas157           Pavarde157          3 2 2 3 0 2
Vardas158           Pavarde158          1 10 6 10 3 5
Vardas159           Pavarde159          7 5 5 9 3 3
Vardas160           Pavarde160          4 1 8 10 7 3
Vardas161           Pavarde161          3 10 9 8 8 4
Vardas162           Pavarde162          6 1 4 8 3 7
Vardas163           Pavarde163          9 6 3 10 0 7
Vardas164           Pavarde164          10 7 6 3 6 10
Vardas165           Pavarde165          3 9 6 4 7 0
Vardas166           Pavarde166          7 9 8 8 5 10
Vardas167           Pavarde167          1 0 4 5 1 10
Vardas168           Pavarde168          2 8 8 4 2 0
Vardas169           Pavarde169          10 9 8 1 6 2
Vardas170           Pavarde170          10 2 5 7 0 1
Vardas171           Pavarde171          4 8 0 7 9 9
Vardas172           Pavarde172          9 10 8 0 6 3
Vardas173           Pavarde173          1 8 9 1 10 2
Vardas174           Pavarde174          2 3 0 1 5 9
Vardas175           Pavarde175          1 6 2 9 4 9
Vardas176           Pavarde176          3 2 2 6 3 3
Vardas177           Pavarde177          8 2 7 4 0 6
Vardas178           Pavarde178          8 8 7 8 7 7
Vardas179           Pavarde179          10 5 6 4 8 0
Vardas180           Pavarde180          2 2 7 2 5 10
Vardas181           Pavarde181          4 7 5 10 9 0
Vardas182           Pavarde182          0 0 8 4 4 2
Vardas183           Pavarde183          2 1 6 7 9 6
Vardas184           Pavarde184          6 1 1 8 2 3
Vardas185           Pavarde185          1 2 5 3 6 4
Vardas186           Pavarde186          0 9 2 7 10 0
Vardas187           Pavarde187          6 6 0 8 7 0
Vardas188           Pavarde188          2 9 8 9 7 1
Vardas189           Pavarde189          2 6 1 8 1 9
Vardas190           Pavarde190          6 3 5 4 5 3
